"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.3681,391.41,528.97,125.78,-3.9831e-18,2.3957e+05,1,0.16279,0.657,0.043018,1
1.3689,391.29,529.15,125.97,-3.4414e-18,2.393e+05,1,0.16382,0.658,0.043292,1
1.3697,391.18,529.33,126.16,-2.8998e-18,2.3903e+05,1,0.16486,0.659,0.043566,1
1.3704,391.06,529.52,126.36,-2.3582e-18,2.3876e+05,1,0.1659,0.66,0.04384,1
1.3712,390.95,529.7,126.55,-1.8167e-18,2.3849e+05,1,0.16693,0.661,0.044114,1
1.372,390.83,529.88,126.74,-1.2752e-18,2.3822e+05,1,0.16797,0.662,0.044388,1
1.3728,390.72,530.07,126.94,-7.3369e-19,2.3795e+05,1,0.16901,0.663,0.044662,1
1.3735,390.6,530.25,127.13,-1.9223e-19,2.3769e+05,1,0.17004,0.664,0.044936,1
1.3743,390.5,530.44,127.26,-3.1994e-19,2.3743e+05,1,0.17108,0.665,0.04521,1
1.375,390.4,530.62,127.37,-5.9363e-19,2.3717e+05,1,0.17212,0.666,0.045484,1
1.3757,390.3,530.81,127.49,-8.6731e-19,2.3691e+05,1,0.17316,0.667,0.045758,1
1.3764,390.2,530.99,127.6,-1.141e-18,2.3665e+05,1,0.17419,0.668,0.046032,1
1.3771,390.09,531.18,127.71,-1.4147e-18,2.364e+05,1,0.17523,0.669,0.046306,1
1.3778,389.99,531.36,127.83,-1.6883e-18,2.3614e+05,1,0.17627,0.67,0.04658,1
1.3785,389.89,531.55,127.94,-1.962e-18,2.3588e+05,1,0.1773,0.671,0.046854,1
1.3792,389.79,531.74,128.06,-2.2356e-18,2.3562e+05,1,0.17834,0.672,0.047128,1
1.3799,389.69,531.92,128.17,-2.5092e-18,2.3537e+05,1,0.17938,0.673,0.047402,1
1.3806,389.59,532.11,128.28,-2.7829e-18,2.3511e+05,1,0.18041,0.674,0.047676,1
1.3813,389.49,532.29,128.4,-3.0565e-18,2.3485e+05,1,0.18145,0.675,0.04795,1
1.382,389.39,532.48,128.51,-3.3301e-18,2.346e+05,1,0.18249,0.676,0.048224,1
1.3827,389.29,532.66,128.63,-3.6037e-18,2.3434e+05,1,0.18352,0.677,0.048498,1
1.3834,389.18,532.85,128.74,-3.8773e-18,2.3408e+05,1,0.18456,0.678,0.048772,1
