"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.2124,413.61,506.4,55.34,9.9712e-18,2.4214e+05,1,0.21504,0.702,0.07373,1
1.2119,413.7,506.19,55.484,9.8521e-18,2.4235e+05,1,0.2161,0.703,0.074095,1
1.2115,413.78,505.99,55.628,9.7331e-18,2.4256e+05,1,0.21716,0.704,0.07446,1
1.211,413.87,505.79,55.772,9.614e-18,2.4277e+05,1,0.21823,0.705,0.074825,1
1.2105,413.95,505.58,55.917,9.495e-18,2.4298e+05,1,0.21929,0.706,0.07519,1
1.21,414.04,505.38,56.061,9.3759e-18,2.4319e+05,1,0.22036,0.707,0.075555,1
1.2096,414.12,505.18,56.205,9.2569e-18,2.4341e+05,1,0.22142,0.708,0.07592,1
1.2091,414.21,504.98,56.349,9.1378e-18,2.4362e+05,1,0.22249,0.709,0.076285,1
1.2086,414.29,504.77,56.493,9.0188e-18,2.4383e+05,1,0.22355,0.71,0.07665,1
1.2081,414.38,504.57,56.637,8.8997e-18,2.4404e+05,1,0.22462,0.711,0.077015,1
1.2077,414.46,504.37,56.781,8.7807e-18,2.4425e+05,1,0.22568,0.712,0.07738,1
1.2072,414.55,504.16,56.925,8.6616e-18,2.4446e+05,1,0.22674,0.713,0.077745,1
1.2067,414.63,503.96,57.069,8.5426e-18,2.4467e+05,1,0.22781,0.714,0.07811,1
1.2063,414.72,503.76,57.214,8.4236e-18,2.4489e+05,1,0.22887,0.715,0.078475,1
1.2058,414.8,503.55,57.358,8.3045e-18,2.451e+05,1,0.22994,0.716,0.07884,1
1.2053,414.89,503.35,57.502,8.1855e-18,2.4531e+05,1,0.231,0.717,0.079205,1
1.2048,414.97,503.15,57.646,8.0664e-18,2.4552e+05,1,0.23207,0.718,0.07957,1
1.2044,415.06,502.94,57.79,7.9474e-18,2.4573e+05,1,0.23313,0.719,0.079935,1
1.2039,415.14,502.74,57.934,7.8283e-18,2.4594e+05,1,0.2342,0.72,0.0803,1
1.2034,415.23,502.54,58.078,7.7093e-18,2.4615e+05,1,0.23526,0.721,0.080665,1
1.203,415.31,502.34,58.222,7.5903e-18,2.4636e+05,1,0.23633,0.722,0.08103,1
