"Ma","T","U:0","U:1","U:2","p","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7792,330.27,648.11,41.058,1.3925e-18,1.4057e+05,1,0.12452,0.624,0.011408,1
1.7791,330.29,648.06,41.329,1.3925e-18,1.4062e+05,1,0.12553,0.625,0.0115,1
1.779,330.3,648.01,41.601,1.3924e-18,1.4066e+05,1,0.12653,0.626,0.011592,1
1.7789,330.31,647.96,41.873,1.3924e-18,1.4071e+05,1,0.12754,0.627,0.011684,1
1.7788,330.33,647.91,42.145,1.3923e-18,1.4075e+05,1,0.12854,0.628,0.011776,1
1.7787,330.34,647.86,42.416,1.3923e-18,1.408e+05,1,0.12954,0.629,0.011868,1
1.7786,330.35,647.81,42.688,1.3923e-18,1.4084e+05,1,0.13055,0.63,0.01196,1
1.7785,330.37,647.76,42.96,1.3922e-18,1.4089e+05,1,0.13155,0.631,0.012052,1
1.7783,330.38,647.71,43.232,1.3922e-18,1.4093e+05,1,0.13256,0.632,0.012144,1
1.7782,330.39,647.67,43.503,1.3922e-18,1.4097e+05,1,0.13356,0.633,0.012236,1
1.7781,330.41,647.62,43.775,1.3921e-18,1.4102e+05,1,0.13457,0.634,0.012328,1
1.7781,330.41,647.59,44.023,1.3263e-18,1.4104e+05,1,0.13557,0.635,0.01242,1
1.7782,330.4,647.58,44.259,1.2284e-18,1.4105e+05,1,0.13657,0.636,0.012512,1
1.7782,330.39,647.56,44.494,1.1305e-18,1.4106e+05,1,0.13758,0.637,0.012604,1
1.7782,330.39,647.55,44.73,1.0326e-18,1.4107e+05,1,0.13858,0.638,0.012696,1
1.7783,330.38,647.53,44.966,9.3475e-19,1.4108e+05,1,0.13959,0.639,0.012788,1
1.7783,330.37,647.52,45.202,8.3688e-19,1.4109e+05,1,0.14059,0.64,0.01288,1
1.7784,330.37,647.5,45.438,7.3901e-19,1.411e+05,1,0.1416,0.641,0.012972,1
1.7784,330.36,647.49,45.674,6.4115e-19,1.4111e+05,1,0.1426,0.642,0.013064,1
1.7784,330.35,647.47,45.91,5.433e-19,1.4112e+05,1,0.1436,0.643,0.013156,1
1.7785,330.35,647.46,46.146,4.4546e-19,1.4113e+05,1,0.14461,0.644,0.013248,1
1.7785,330.34,647.44,46.382,3.4763e-19,1.4114e+05,1,0.14561,0.645,0.01334,1
1.7785,330.33,647.43,46.618,2.498e-19,1.4115e+05,1,0.14662,0.646,0.013432,1
1.7786,330.33,647.42,46.854,1.5199e-19,1.4116e+05,1,0.14762,0.647,0.013524,1
1.7786,330.32,647.4,47.09,5.4185e-20,1.4117e+05,1,0.14863,0.648,0.013616,1
1.7786,330.31,647.39,47.326,-4.3612e-20,1.4118e+05,1,0.14963,0.649,0.013708,1
1.7788,330.29,647.39,47.532,2.6606e-21,1.4116e+05,1,0.15063,0.65,0.0138,1
1.7789,330.27,647.41,47.729,9.7915e-20,1.4114e+05,1,0.15164,0.651,0.013892,1
1.7791,330.25,647.42,47.926,1.9315e-19,1.4112e+05,1,0.15264,0.652,0.013984,1
1.7792,330.23,647.44,48.123,2.8839e-19,1.411e+05,1,0.15365,0.653,0.014076,1
1.7794,330.2,647.45,48.319,3.8361e-19,1.4108e+05,1,0.15465,0.654,0.014168,1
1.7795,330.18,647.47,48.516,4.7882e-19,1.4106e+05,1,0.15565,0.655,0.01426,1
1.7797,330.16,647.49,48.713,5.7403e-19,1.4104e+05,1,0.15666,0.656,0.014352,1
1.7798,330.13,647.5,48.91,6.6923e-19,1.4103e+05,1,0.15766,0.657,0.014444,1
1.78,330.11,647.52,49.106,7.6442e-19,1.4101e+05,1,0.15867,0.658,0.014536,1
1.7801,330.09,647.53,49.303,8.5959e-19,1.4099e+05,1,0.15967,0.659,0.014628,1
1.7803,330.06,647.55,49.5,9.5477e-19,1.4097e+05,1,0.16068,0.66,0.01472,1
1.7804,330.04,647.56,49.697,1.0499e-18,1.4095e+05,1,0.16168,0.661,0.014812,1
1.7806,330.02,647.58,49.894,1.1451e-18,1.4093e+05,1,0.16268,0.662,0.014904,1
1.7807,330,647.59,50.09,1.2402e-18,1.4091e+05,1,0.16369,0.663,0.014996,1
1.7809,329.97,647.61,50.287,1.3354e-18,1.4089e+05,1,0.16469,0.664,0.015088,1
1.7811,329.94,647.64,50.451,1.4353e-18,1.4085e+05,1,0.1657,0.665,0.01518,1
1.7814,329.9,647.68,50.608,1.5363e-18,1.408e+05,1,0.1667,0.666,0.015272,1
1.7816,329.87,647.72,50.764,1.6372e-18,1.4076e+05,1,0.16771,0.667,0.015364,1
1.7818,329.83,647.76,50.921,1.7382e-18,1.4072e+05,1,0.16871,0.668,0.015456,1
1.7821,329.8,647.8,51.078,1.8392e-18,1.4068e+05,1,0.16971,0.669,0.015548,1
1.7823,329.76,647.84,51.234,1.9402e-18,1.4063e+05,1,0.17072,0.67,0.01564,1
1.7826,329.73,647.87,51.391,2.0411e-18,1.4059e+05,1,0.17172,0.671,0.015732,1
